"","Chromosome","Start","End","Feature","205122170045_R04C01","205122170071_R01C01","205125590021_R02C01","205125590067_R07C01","205125590068_R01C01","205128000076_R07C01","205240110063_R01C01","205243940036_R02C01","205243940046_R04C01","205243940058_R04C01","205243940065_R07C01","205243940107_R05C01","205289430139_R07C01"
"chr1-167","chr1",176000001,177000000,"chr1-167",0.254,0.292,0.002,0.225,0.177,0.181,-0.069,0.234,0,0.114,0.211,0.243,0.234
"chr1-168","chr1",177000001,178000000,"chr1-168",0.292,0.323,0.011,0.25,0.169,0.169,-0.151,0.246,-0.001,0.124,0.218,0.247,0.271
"chr1-169","chr1",178000001,179000000,"chr1-169",0.161,0.282,0.008,0.159,0.093,0.134,0.016,0.186,-0.02,0.045,0.145,0.118,0.238
"chr1-170","chr1",179000001,180000000,"chr1-170",0.144,0.23,-0.027,0.139,0.093,0.1,-0.026,0.126,-0.041,0.013,0.135,0.084,0.185
"chr1-171","chr1",180000001,181000000,"chr1-171",0.139,0.226,-0.036,0.125,0.074,0.085,-0.05,0.137,-0.06,0.015,0.107,0.096,0.194
"chr1-172","chr1",181000001,182000000,"chr1-172",0.178,0.257,-0.048,0.188,0.105,0.083,-0.139,0.155,-0.023,0.051,0.15,0.146,0.195
"chr1-173","chr1",182000001,183000000,"chr1-173",0.178,0.256,-0.031,0.168,0.118,0.113,-0.072,0.15,-0.03,0.058,0.135,0.131,0.181
"chr1-174","chr1",183000001,184000000,"chr1-174",0.218,0.311,0.029,0.183,0.142,0.132,-0.033,0.18,-0.006,0.088,0.146,0.172,0.197
"chr1-175","chr1",184000001,185000000,"chr1-175",0.248,0.341,0.008,0.203,0.168,0.17,-0.069,0.222,0.006,0.105,0.171,0.174,0.221
"chr1-176","chr1",185000001,186000000,"chr1-176",0.252,0.289,0.035,0.205,0.152,0.162,0.025,0.208,-0.027,0.086,0.211,0.196,0.256
"chr1-177","chr1",186000001,187000000,"chr1-177",0.342,0.394,0.141,0.245,0.196,0.252,0.076,0.344,0.018,0.162,0.261,0.292,0.395
"chr1-178","chr1",187000001,188000000,"chr1-178",0.294,0.338,0.1,0.229,0.166,0.218,-0.179,0.311,0.041,0.185,0.175,0.234,0.347
"chr1-179","chr1",188000001,189000000,"chr1-179",0.379,0.456,0.14,0.276,0.184,0.257,-0.045,0.329,0.025,0.2,0.315,0.298,0.421
"chr1-180","chr1",189000001,190000000,"chr1-180",0.359,0.327,0.077,0.247,0.196,0.317,-0.212,0.376,0,0.22,0.227,0.302,0.378
"chr1-181","chr1",190000001,191000000,"chr1-181",0.392,0.516,0.033,0.292,0.197,0.267,-0.101,0.33,-0.029,0.229,0.393,0.347,0.407
"chr1-182","chr1",191000001,192000000,"chr1-182",0.247,0.328,0.024,0.152,0.073,0.167,-0.082,0.306,-0.053,0.09,0.208,0.167,0.257
"chr1-183","chr1",192000001,193000000,"chr1-183",0.368,0.414,0.167,0.264,0.209,0.234,0.016,0.371,0.032,0.204,0.228,0.293,0.39
"chr1-184","chr1",193000001,194000000,"chr1-184",0.249,0.359,0.056,0.201,0.16,0.167,0.006,0.266,-0.011,0.095,0.181,0.183,0.284
"chr1-185","chr1",194000001,195000000,"chr1-185",0.248,0.275,-0.01,0.176,0.158,0.178,-0.131,0.218,-0.036,0.122,0.126,0.229,0.295
"chr1-186","chr1",195000001,196000000,"chr1-186",0.275,0.364,0.054,0.218,0.152,0.188,-0.165,0.362,0.067,0.179,0.28,0.257,0.358
"chr1-187","chr1",196000001,197000000,"chr1-187",0.354,0.359,0.13,0.263,0.196,0.283,-0.037,0.351,0.049,0.227,0.325,0.276,0.326
"chr1-188","chr1",197000001,198000000,"chr1-188",0.285,0.375,0.088,0.268,0.189,0.182,0.084,0.291,0.038,0.129,0.317,0.25,0.347
"chr1-189","chr1",198000001,199000000,"chr1-189",0.345,0.423,0.169,0.252,0.196,0.263,0.042,0.346,0.057,0.198,0.261,0.313,0.391
"chr1-190","chr1",199000001,200000000,"chr1-190",0.296,0.307,0.043,0.192,0.128,0.223,-0.167,0.296,-0.005,0.147,0.123,0.187,0.288
"chr1-191","chr1",200000001,201000000,"chr1-191",0.14,0.246,-0.023,0.138,0.072,0.102,-0.029,0.14,-0.058,0.024,0.148,0.105,0.187
"chr1-192","chr1",201000001,202000000,"chr1-192",0.141,0.206,-0.043,0.171,0.097,0.049,-0.014,0.1,-0.045,0.016,0.15,0.125,0.15
"chr1-193","chr1",202000001,203000000,"chr1-193",0.101,0.182,-0.058,0.088,0.051,0.028,-0.021,0.074,-0.069,-0.021,0.125,0.058,0.119
"chr1-194","chr1",203000001,204000000,"chr1-194",0.163,0.22,-0.034,0.116,0.091,0.072,-0.069,0.12,-0.029,0.038,0.151,0.129,0.152
"chr1-195","chr1",204000001,205000000,"chr1-195",0.142,0.2,-0.047,0.083,0.051,0.074,-0.048,0.112,-0.048,0.017,0.085,0.104,0.15
"chr1-196","chr1",205000001,205922707,"chr1-196",0.142,0.209,-0.058,0.099,0.066,0.057,-0.015,0.125,-0.03,-0.006,0.151,0.106,0.172
"chr1-197","chr1",206072708,206332221,"chr1-197",0.187,0.171,0.019,0.101,0.077,0.112,-0.067,0.126,-0.052,0.064,0.071,0.148,0.15
"chr1-198","chr1",206482222,207000000,"chr1-198",0.173,0.226,0.002,0.129,0.108,0.079,0,0.158,-0.019,0.042,0.143,0.169,0.216
"chr1-199","chr1",207000001,208000000,"chr1-199",0.232,0.274,-0.007,0.147,0.15,0.142,-0.106,0.195,-0.006,0.087,0.184,0.192,0.238
"chr1-200","chr1",208000001,209000000,"chr1-200",0.214,0.238,-0.029,0.15,0.134,0.104,-0.072,0.14,-0.008,0.091,0.178,0.181,0.142
"chr1-201","chr1",209000001,210000000,"chr1-201",0.256,-0.439,0.017,0.17,0.157,0.144,-0.061,-0.305,0.137,0.108,0.18,0.237,-0.305
"chr1-202","chr1",210000001,211000000,"chr1-202",0.196,-0.515,-0.048,0.1,0.112,0.122,-0.08,-0.366,0.093,0.048,0.181,0.143,-0.401
"chr1-203","chr1",211000001,212000000,"chr1-203",0.114,-0.445,-0.068,0.079,0.059,0.059,-0.039,-0.36,0.076,0,0.093,0.085,-0.395
"chr1-204","chr1",212000001,213000000,"chr1-204",0.174,-0.451,-0.013,0.111,0.103,0.103,-0.033,-0.338,0.102,0.034,0.152,0.11,-0.374
"chr1-205","chr1",213000001,214000000,"chr1-205",0.132,-0.499,-0.069,0.081,0.064,0.091,-0.108,-0.376,0.093,0.023,0.078,0.09,-0.447
"chr1-206","chr1",214000001,215000000,"chr1-206",0.214,-0.466,0.01,0.112,0.114,0.124,-0.046,-0.312,0.113,0.072,0.151,0.166,-0.361
"chr1-207","chr1",215000001,216000000,"chr1-207",0.292,-0.537,0.064,0.157,0.131,0.214,-0.018,-0.273,0.13,0.158,0.234,0.238,-0.294
"chr1-208","chr1",216000001,217000000,"chr1-208",0.406,-0.487,0.037,0.201,0.216,0.268,-0.252,-0.239,0.218,0.191,0.281,0.341,-0.263
"chr1-209","chr1",217000001,218000000,"chr1-209",0.257,-0.479,-0.045,0.16,0.14,0.192,-0.184,-0.269,0.159,0.125,0.203,0.208,-0.35
"chr1-210","chr1",218000001,219000000,"chr1-210",0.289,-0.472,0.044,0.157,0.146,0.196,-0.038,-0.314,0.162,0.134,0.201,0.223,-0.37
"chr1-211","chr1",219000001,220000000,"chr1-211",0.333,-0.498,0.083,0.204,0.19,0.243,-0.053,-0.27,0.152,0.178,0.234,0.277,-0.363
"chr1-212","chr1",220000001,221000000,"chr1-212",0.166,-0.411,-0.062,0.083,0.069,0.101,-0.11,-0.358,0.073,0.013,0.092,0.107,-0.404
"chr1-213","chr1",221000001,222000000,"chr1-213",0.255,-0.438,0.05,0.151,0.132,0.156,-0.04,-0.275,0.133,0.077,0.18,0.222,-0.324
"chr1-214","chr1",222000001,223000000,"chr1-214",0.223,-0.45,0.027,0.154,0.12,0.145,0.003,-0.306,0.107,0.065,0.19,0.193,-0.339
"chr1-215","chr1",223000001,223747846,"chr1-215",0.209,-0.488,-0.097,0.106,0.088,0.098,-0.205,-0.328,0.11,0.057,0.099,0.117,-0.36
"chr1-216","chr1",223797847,224000000,"chr1-216",0.145,-0.416,-0.056,0.07,0.085,0.063,-0.051,-0.356,0.062,0.042,0.106,0.093,-0.369
"chr1-217","chr1",224000001,225000000,"chr1-217",0.121,-0.519,-0.088,0.051,0.056,0.083,-0.097,-0.402,0.069,0.01,0.094,0.041,-0.453
"chr1-218","chr1",225000001,226000000,"chr1-218",0.122,-0.462,-0.065,0.078,0.075,0.078,-0.013,-0.409,0.088,-0.009,0.104,0.057,-0.424
"chr1-219","chr1",226000001,227000000,"chr1-219",0.089,-0.361,-0.075,0.033,0.025,0.02,-0.021,-0.357,0.021,-0.044,0.086,0.026,-0.355
"chr1-220","chr1",227000001,228000000,"chr1-220",0.078,-0.405,-0.078,0.035,0.018,0.028,-0.031,-0.335,0.042,-0.044,0.08,0.028,-0.344
"chr1-221","chr1",228000001,229000000,"chr1-221",0.041,-0.376,-0.109,-0.005,-0.032,-0.03,-0.047,-0.328,-0.014,-0.158,0.067,-0.001,-0.27
"chr1-222","chr1",229000001,230000000,"chr1-222",0.135,-0.469,-0.048,0.066,0.068,0.086,-0.042,-0.332,0.063,-0.052,0.066,0.093,-0.376
"chr1-223","chr1",230000001,231000000,"chr1-223",0.149,-0.365,-0.025,0.058,0.048,0.071,-0.065,-0.277,0.071,0.005,0.076,0.115,-0.289
"chr1-224","chr1",231000001,232000000,"chr1-224",0.171,-0.458,-0.04,0.089,0.084,0.103,-0.066,-0.322,0.079,0.019,0.12,0.107,-0.376
"chr1-225","chr1",232000001,233000000,"chr1-225",0.235,-0.515,0.015,0.109,0.091,0.155,-0.086,-0.316,0.123,0.085,0.131,0.207,-0.392
"chr1-226","chr1",233000001,234000000,"chr1-226",0.183,-0.469,-0.013,0.088,0.07,0.126,-0.083,-0.314,0.074,0.06,0.127,0.143,-0.384
"chr1-227","chr1",234000001,235000000,"chr1-227",0.205,-0.377,0.013,0.107,0.085,0.102,0.009,-0.308,0.102,0.072,0.168,0.149,-0.327
"chr1-228","chr1",235000001,235192211,"chr1-228",0.17,-0.391,0.002,0.094,0.097,0.078,-0.003,-0.327,0.119,0.068,0.118,0.159,-0.408
"chr1-229","chr1",235242212,236000000,"chr1-229",-0.139,-0.592,-0.062,0.043,0.015,0.069,-0.063,-0.448,0.059,-0.016,0.027,0.014,-0.513
"chr1-230","chr1",236000001,237000000,"chr1-230",-0.212,-0.537,-0.079,0.039,0.035,0.078,-0.138,-0.383,0.047,-0.004,0.013,0.038,-0.472
"chr1-231","chr1",237000001,238000000,"chr1-231",-0.149,-0.415,-0.077,0.083,0.054,0.116,-0.236,-0.324,0.059,0.057,0.069,0.126,-0.399
"chr1-232","chr1",238000001,239000000,"chr1-232",-0.066,-0.67,0.02,0.133,0.122,0.214,-0.131,-0.313,0.136,0.194,0.124,0.222,-0.381
"chr1-233","chr1",239000001,240000000,"chr1-233",-0.082,-0.526,0.057,0.105,0.102,0.148,-0.145,-0.295,0.151,0.129,0.155,0.163,-0.315
"chr1-234","chr1",240000001,241000000,"chr1-234",-0.149,-0.52,-0.051,0.05,0.07,0.165,-0.185,-0.339,0.107,0.067,0.066,0.113,-0.425
"chr1-235","chr1",241000001,242000000,"chr1-235",-0.122,-0.522,-0.057,0.122,0.082,0.152,-0.19,-0.331,0.111,0.069,0.124,0.125,-0.409
"chr1-236","chr1",242000001,243000000,"chr1-236",-0.125,-0.557,-0.037,0.071,0.079,0.127,-0.195,-0.351,0.1,0.09,0.042,0.16,-0.427
"chr1-237","chr1",243000001,244000000,"chr1-237",-0.105,-0.473,0.005,0.047,0.065,0.12,-0.042,-0.315,0.081,0.068,0.104,0.146,-0.342
"chr1-238","chr1",244000001,245000000,"chr1-238",-0.177,-0.431,-0.047,0.079,0.069,0.099,-0.017,-0.352,0.077,0.016,0.105,0.079,-0.401
"chr1-239","chr1",245000001,246000000,"chr1-239",-0.184,-0.46,-0.065,0.042,0.038,0.093,-0.025,-0.339,0.043,-0.006,0.043,0.067,-0.403
"chr1-240","chr1",246000001,247000000,"chr1-240",-0.155,-0.467,-0.04,0.024,0.046,0.117,-0.034,-0.365,0.071,0.055,0.043,0.092,-0.446
"chr1-241","chr1",247000001,248000000,"chr1-241",-0.194,-0.54,-0.099,0.052,0.041,0.069,-0.144,-0.362,0.05,0.006,0.054,0.072,-0.392
"chr1-242","chr1",248000001,248908210,"chr1-242",-0.024,-0.595,0.01,0.098,0.114,0.185,-0.274,-0.281,0.121,0.169,0.129,0.22,-0.355
"chr1-243","chr1",249058211,249240621,"chr1-243",-0.22,-0.229,-0.079,0.085,0.076,0,-0.016,-0.286,0.025,-0.062,0.177,0.079,-0.238
"chr2-001","chr2",10001,1000000,"chr2-001",-0.395,-0.342,-0.079,-0.428,-0.08,-0.348,-0.154,-0.272,-0.029,-0.018,-0.048,-0.064,-0.29
"chr2-002","chr2",1000001,2000000,"chr2-002",-0.425,-0.341,-0.06,-0.269,-0.093,-0.356,-0.077,-0.289,-0.047,0.001,-0.094,-0.078,-0.282
"chr2-003","chr2",2000001,3000000,"chr2-003",-0.376,-0.409,-0.062,-0.21,-0.102,-0.319,-0.165,-0.276,-0.001,0.004,-0.078,-0.065,-0.285
"chr2-004","chr2",3000001,3529312,"chr2-004",-0.405,-0.346,-0.042,-0.247,-0.131,-0.346,-0.032,-0.294,-0.087,-0.048,-0.101,-0.108,-0.297
"chr2-005","chr2",3579313,4000000,"chr2-005",-0.227,-0.425,-0.088,-0.286,-0.155,-0.415,-0.055,-0.333,-0.072,-0.076,-0.174,-0.186,-0.348
"chr2-006","chr2",4000001,5018788,"chr2-006",-0.055,-0.545,-0.012,-0.178,-0.071,-0.316,-0.327,-0.294,-0.002,0.119,-0.051,0.03,-0.304
"chr2-007","chr2",5118789,6000000,"chr2-007",-0.168,-0.506,-0.059,-0.201,-0.129,-0.363,-0.212,-0.32,-0.042,0.003,-0.106,-0.109,-0.35
"chr2-008","chr2",6000001,7000000,"chr2-008",-0.064,-0.506,-0.028,-0.185,-0.05,-0.304,-0.236,-0.286,0.011,0.081,-0.114,-0.012,-0.358
"chr2-009","chr2",7000001,8000000,"chr2-009",-0.079,-0.352,0.001,-0.171,-0.08,-0.297,-0.059,-0.247,-0.013,0.042,-0.063,-0.013,-0.302
"chr2-010","chr2",8000001,9000000,"chr2-010",-0.112,-0.358,0.016,-0.17,-0.078,-0.332,0.004,-0.283,-0.018,0.041,-0.075,-0.028,-0.329
"chr2-011","chr2",9000001,10000000,"chr2-011",-0.11,-0.441,-0.023,-0.223,-0.096,-0.411,-0.009,-0.361,-0.045,-0.032,-0.14,-0.149,-0.401
"chr2-012","chr2",10000001,11000000,"chr2-012",-0.134,-0.422,-0.091,-0.252,-0.166,-0.417,-0.044,-0.353,-0.088,-0.08,-0.152,-0.202,-0.381
"chr2-013","chr2",11000001,12000000,"chr2-013",-0.048,-0.474,-0.078,-0.252,-0.125,-0.391,-0.123,-0.371,-0.052,-0.021,-0.189,-0.158,-0.391
"chr2-014","chr2",12000001,13000000,"chr2-014",0.073,-0.492,0.042,-0.151,-0.033,-0.306,-0.015,-0.276,0.016,0.076,-0.058,-0.001,-0.358
"chr2-015","chr2",13000001,14000000,"chr2-015",0.094,-0.497,0.066,-0.223,-0.013,-0.254,-0.075,-0.275,0.088,0.157,-0.056,0.087,-0.34
"chr2-016","chr2",14000001,15000000,"chr2-016",0.07,-0.369,-0.047,-0.119,-0.011,-0.367,-0.188,-0.274,-0.016,0.037,-0.002,-0.03,-0.27
"chr2-017","chr2",15000001,16000000,"chr2-017",0.023,-0.44,-0.05,-0.154,-0.094,-0.352,-0.091,-0.33,-0.017,0.039,-0.132,-0.034,-0.415
"chr2-018","chr2",16000001,16279724,"chr2-018",-0.046,-0.507,-0.154,-0.208,-0.116,-0.396,-0.186,-0.398,-0.023,-0.068,-0.17,-0.098,-0.366
"chr2-019","chr2",16329725,17000000,"chr2-019",0.083,-0.481,-0.082,-0.136,-0.039,-0.259,-0.254,-0.332,0.034,0.054,-0.073,0.034,-0.338
"chr2-020","chr2",17000001,18000000,"chr2-020",0.103,-0.484,0.02,-0.128,0.013,-0.245,0.016,-0.284,0.036,0.092,0.045,0.04,-0.294
"chr2-021","chr2",18000001,19000000,"chr2-021",0.084,-0.396,0.03,-0.115,-0.013,-0.071,-0.002,-0.255,0.047,0.104,-0.041,0.056,-0.282
"chr2-022","chr2",19000001,20000000,"chr2-022",0.104,-0.366,0.069,-0.091,0.022,-0.077,0.039,-0.26,0.051,0.103,0.007,0.031,-0.297
"chr2-023","chr2",20000001,21000000,"chr2-023",-0.058,-0.328,0.006,-0.113,-0.028,-0.15,0.038,-0.295,-0.003,0.019,0.034,-0.069,-0.297
"chr2-024","chr2",21000001,21153113,"chr2-024",-0.145,-0.451,-0.043,-0.15,-0.09,-0.135,-0.027,-0.41,-0.01,0.04,-0.046,-0.172,-0.486
"chr2-025","chr2",21178114,22000000,"chr2-025",-0.07,-0.503,0.024,-0.16,-0.065,-0.063,-0.063,-0.253,0.033,0.108,-0.044,0.003,-0.3
"chr2-026","chr2",22000001,23000000,"chr2-026",-0.023,-0.632,0.069,-0.25,-0.077,-0.002,-0.157,-0.293,0.019,0.134,-0.115,0.015,-0.458
"chr2-027","chr2",23000001,24000000,"chr2-027",-0.123,-0.285,-0.01,-0.167,-0.096,-0.149,-0.061,-0.259,-0.048,0.023,-0.063,-0.041,-0.269
"chr2-028","chr2",24000001,25000000,"chr2-028",-0.271,-0.523,-0.079,-0.252,-0.145,-0.192,-0.06,-0.387,-0.064,-0.069,-0.173,-0.237,-0.436
"chr2-029","chr2",25000001,26000000,"chr2-029",-0.226,-0.428,-0.078,-0.251,-0.15,-0.197,-0.023,-0.373,-0.086,-0.057,-0.165,-0.189,-0.37
"chr2-030","chr2",26000001,27000000,"chr2-030",-0.202,-0.397,-0.063,-0.192,-0.123,-0.182,-0.034,-0.337,-0.05,-0.039,-0.112,-0.151,-0.354
"chr2-031","chr2",27000001,28000000,"chr2-031",-0.226,-0.368,-0.061,-0.185,-0.09,-0.201,-0.027,-0.353,-0.053,-0.052,-0.059,-0.171,-0.353
"chr2-032","chr2",28000001,29000000,"chr2-032",-0.113,-0.363,0.018,-0.142,-0.037,-0.147,0.04,-0.303,-0.015,0.054,-0.034,-0.043,-0.33
"chr2-033","chr2",29000001,30000000,"chr2-033",-0.151,-0.554,-0.052,-0.204,-0.087,-0.134,-0.178,-0.361,-0.022,0.025,-0.161,-0.105,-0.424
"chr2-034","chr2",30000001,31000000,"chr2-034",-0.118,-0.433,-0.025,-0.156,-0.04,-0.134,-0.099,-0.351,-0.027,0.037,-0.09,-0.071,-0.385
"chr2-035","chr2",31000001,32000000,"chr2-035",-0.103,-0.442,-0.053,-0.157,-0.066,-0.126,-0.235,-0.319,-0.008,0.044,-0.086,-0.026,-0.355
"chr2-036","chr2",32000001,33000000,"chr2-036",-0.1,-0.566,-0.054,-0.272,-0.144,-0.206,-0.016,-0.474,-0.056,-0.036,-0.217,-0.248,-0.546
"chr2-037","chr2",33000001,34000000,"chr2-037",0.049,-0.411,0.052,-0.198,-0.066,-0.1,-0.033,-0.342,0.015,0.07,-0.127,-0.022,-0.372
"chr2-038","chr2",34000001,35000000,"chr2-038",0.137,-0.647,0.033,-0.279,-0.058,-0.023,-0.286,-0.271,0.026,0.201,-0.152,0.021,-0.411
"chr2-039","chr2",35000001,36000000,"chr2-039",0.148,-0.657,0.07,-0.234,-0.036,-0.019,-0.158,-0.287,0.015,0.189,0.01,-0.052,-0.371
"chr2-040","chr2",36000001,37000000,"chr2-040",0.095,-0.528,0.068,-0.116,-0.064,-0.073,-0.036,-0.311,0.023,0.126,-0.101,-0.008,-0.419
"chr2-041","chr2",37000001,38000000,"chr2-041",0.051,-0.45,0.041,0.006,-0.044,-0.113,0.011,-0.338,0.003,0.082,-0.009,-0.086,-0.389
"chr2-042","chr2",38000001,39000000,"chr2-042",0.044,-0.482,0.002,0.007,-0.061,-0.163,-0.007,-0.364,-0.02,0.042,-0.046,-0.076,-0.434
"chr2-043","chr2",39000001,40000000,"chr2-043",0.003,-0.501,0.056,-0.072,-0.098,-0.124,0.043,-0.376,-0.036,0.022,-0.163,-0.127,-0.441
"chr2-044","chr2",40000001,41000000,"chr2-044",0.129,-0.506,0.114,0.075,-0.002,-0.041,0.031,-0.268,0.039,0.175,0.053,0.046,-0.359
"chr2-045","chr2",41000001,42000000,"chr2-045",0.122,-0.608,0.074,-0.024,-0.029,0.024,-0.12,-0.277,0.058,0.149,-0.147,0.035,-0.323
"chr2-046","chr2",42000001,43000000,"chr2-046",-0.021,-0.405,-0.027,-0.038,-0.105,-0.151,-0.013,-0.319,-0.034,0.019,-0.088,-0.102,-0.335
"chr2-047","chr2",43000001,44000000,"chr2-047",-0.001,-0.386,-0.009,-0.013,-0.073,-0.161,0.017,-0.327,-0.109,0.004,-0.034,-0.112,-0.347
"chr2-048","chr2",44000001,45000000,"chr2-048",-0.021,-0.537,0.002,-0.046,-0.098,-0.111,-0.019,-0.381,-0.019,0.039,-0.17,-0.146,-0.458
"chr2-049","chr2",45000001,46000000,"chr2-049",-0.017,-0.393,-0.012,-0.055,-0.08,-0.073,-0.012,-0.331,-0.024,0.01,-0.085,-0.107,-0.357
"chr2-050","chr2",46000001,47000000,"chr2-050",0.057,-0.393,0.032,0.022,-0.045,-0.064,0.025,-0.309,0.01,0.055,-0.019,-0.029,-0.344
"chr2-051","chr2",47000001,48000000,"chr2-051",-0.039,-2.334,-0.024,-0.045,-0.097,-0.109,-0.028,-1.184,-0.032,-0.007,-0.11,-0.117,-1.305
"chr2-052","chr2",48000001,49000000,"chr2-052",-0.029,-2.563,0.003,-0.067,-0.096,-0.095,0.014,-1.298,-0.068,0.027,-0.133,-0.116,-1.488
"chr2-053","chr2",49000001,50000000,"chr2-053",0.125,-2.769,0.05,0.004,-0.006,0.003,-0.078,-1.336,0.019,0.091,-0.146,0.018,-1.524
"chr2-054","chr2",50000001,51000000,"chr2-054",0.201,-0.553,0.079,0.03,0.017,0.073,-0.064,-0.247,0.025,0.145,-0.033,0.062,-0.314
"chr2-055","chr2",51000001,52000000,"chr2-055",0.084,-0.508,-0.037,-0.044,-0.041,0.002,-0.028,-0.314,0.009,0.045,0.009,0.021,-0.379
"chr2-056","chr2",52000001,53000000,"chr2-056",0.071,-0.497,-0.031,-0.095,-0.103,-0.012,-0.238,-0.273,-0.042,0.147,-0.12,-0.028,-0.267
"chr2-057","chr2",53000001,54000000,"chr2-057",0.163,-0.493,0.079,0.019,-0.034,0.041,-0.096,-0.297,0.041,0.138,-0.033,0.053,-0.363
"chr2-058","chr2",54000001,55000000,"chr2-058",-0.024,-0.456,-0.001,-0.027,-0.074,-0.09,-0.008,-0.319,-0.034,0.011,-0.088,-0.1,-0.37
"chr2-059","chr2",55000001,56000000,"chr2-059",0.042,-0.429,0.048,0.006,-0.033,-0.039,0.034,-0.368,0.009,0.087,-0.07,-0.078,-0.445
"chr2-060","chr2",56000001,57000000,"chr2-060",0.121,-0.445,0.008,0.03,0.015,0.014,-0.082,-0.275,0.01,0.12,-0.028,0.034,-0.327
"chr2-061","chr2",57000001,58000000,"chr2-061",0.254,-0.572,0.138,0.111,0.047,0.071,-0.245,-0.258,0.072,0.21,0.073,0.099,-0.347
"chr2-062","chr2",58000001,59000000,"chr2-062",0.132,-0.493,0.01,0.058,0.02,0.032,-0.15,-0.244,0.039,0.119,-0.005,0.006,-0.346
"chr2-063","chr2",59000001,60000000,"chr2-063",0.138,-0.637,-0.068,-0.048,-0.09,0.044,-0.374,-0.33,-0.039,0.159,-0.118,0.006,-0.396
"chr2-064","chr2",60000001,61000000,"chr2-064",0.03,-0.497,-0.079,-0.001,-0.068,-0.067,-0.19,-0.362,-0.007,0.035,-0.113,-0.049,-0.418
"chr2-065","chr2",61000001,62000000,"chr2-065",-0.085,-0.559,-0.025,-0.123,-0.135,-0.127,-0.017,-0.419,-0.05,-0.039,-0.243,-0.222,-0.49
"chr2-066","chr2",62000001,63000000,"chr2-066",-0.007,-0.454,-0.04,-0.047,-0.082,-0.09,-0.016,-0.381,-0.028,0.02,-0.134,-0.114,-0.414
"chr2-067","chr2",63000001,64000000,"chr2-067",0.049,-0.422,0.048,-0.04,-0.097,-0.043,0.067,-0.261,-0.004,0.074,-0.024,-0.126,-0.262
"chr2-068","chr2",64000001,65000000,"chr2-068",0.049,-0.404,0.042,0.014,-0.04,-0.043,0.023,-0.31,-0.001,0.074,-0.025,-0.029,-0.345
"chr2-069","chr2",65000001,66000000,"chr2-069",-0.037,-0.451,-0.043,-0.03,-0.092,-0.116,-0.026,-0.362,-0.046,-0.006,-0.144,-0.131,-0.41
"chr2-070","chr2",66000001,67000000,"chr2-070",0.153,-0.408,0.078,0.132,0.036,-0.067,0.034,-0.332,0.038,0.107,0.204,0.025,-0.415
"chr2-071","chr2",67000001,68000000,"chr2-071",0.127,-0.543,0.09,0.03,-0.03,0.001,0.02,-0.305,0.032,0.15,-0.034,0.011,-0.387
"chr2-072","chr2",68000001,69000000,"chr2-072",0.072,-0.47,0.017,-0.006,-0.046,-0.042,-0.003,-0.307,0.002,0.069,-0.031,-0.05,-0.391
"chr2-073","chr2",69000001,70000000,"chr2-073",0.044,-0.473,0.011,0.011,-0.05,-0.058,0.007,-0.326,-0.012,0.045,-0.104,-0.045,-0.357
"chr2-074","chr2",70000001,71000000,"chr2-074",-0.03,-0.383,-0.059,-0.041,-0.077,-0.118,-0.024,-0.377,-0.043,-0.017,-0.088,-0.122,-0.387
"chr2-075","chr2",71000001,72000000,"chr2-075",0.015,-0.359,-0.011,0.004,-0.056,-0.082,-0.002,-0.294,-0.027,0.016,-0.017,-0.077,-0.3
"chr2-076","chr2",72000001,73000000,"chr2-076",0.046,-0.428,-0.008,0.002,-0.069,-0.077,-0.012,-0.309,-0.023,0.037,-0.042,-0.072,-0.27
"chr2-077","chr2",73000001,74000000,"chr2-077",-0.039,-0.403,-0.08,-0.036,-0.103,-0.117,-0.053,-0.353,-0.035,-0.042,-0.062,-0.133,-0.339
"chr2-078","chr2",74000001,75000000,"chr2-078",-0.055,-0.378,-0.058,-0.028,-0.099,-0.128,-0.016,-0.359,-0.045,-0.036,-0.056,-0.145,-0.361
"chr2-079","chr2",75000001,76000000,"chr2-079",0.02,-0.43,-0.013,0.004,-0.044,-0.054,-0.113,-0.332,-0.009,0.047,-0.074,-0.043,-0.381
"chr2-080","chr2",76000001,77000000,"chr2-080",0.157,-0.532,0.064,0.002,-0.043,0.041,-0.214,-0.218,0.009,0.185,-0.009,0.065,-0.221
"chr2-081","chr2",77000001,78000000,"chr2-081",0.147,-0.689,0.025,-0.02,-0.076,0.051,-0.299,-0.328,0.007,0.119,-0.056,0.049,-0.342
"chr2-082","chr2",78000001,79000000,"chr2-082",0.099,-0.465,-0.042,-0.1,-0.073,-0.066,-0.311,-0.309,-0.029,-0.006,-0.041,-0.015,-0.381
"chr2-083","chr2",79000001,80000000,"chr2-083",0.104,-0.428,0.224,0.005,-0.027,-0.016,0.086,-0.29,0.036,-0.015,-0.061,0.036,-0.341
"chr2-084","chr2",80000001,81000000,"chr2-084",0.09,-0.43,0.173,0.001,-0.053,-0.011,0.043,-0.315,0.021,-0.046,-0.131,-0.026,-0.379
"chr2-085","chr2",81000001,82000000,"chr2-085",0.054,-0.313,0.226,-0.095,-0.09,-0.009,0.233,-0.247,0.001,0.016,-0.023,-0.042,-0.221
"chr2-086","chr2",82000001,83000000,"chr2-086",0.232,-0.456,0.455,-0.024,-0.031,0.026,0.513,-0.192,0.006,0.039,0.061,0.055,-0.231
